"lang"
{
    "Language"          "italian"
        "ServerBrowser_ServerHasNoPlayers"                      "Al momento non ci sono giocatori in questo server."
        "VAC_BanNotification"                                   "Notifica Valve Anti-Cheat"
        "VAC_AccountBanned"                                     "Account Steam bannato"
        "VAC_YourAccountBanned"                                 "Il tuo account Steam '%account%' è stato bannato dai server protetti a causa di un'infrazione di cheating."
        "VAC_GamesAffected"                                     "I seguenti giochi sono stati colpiti:"
        "VAC_ForDetails"                                        "Clicca qui per i dettagli"
        "VAC_ConnectionRefusedTitle"                            "Connessione rifiutata - VAC"
        "VAC_ConnectionRefusedDetail"                           "Non puoi connetterti al server selezionato perché è in esecuzione in modalità protetta VAC (Valve Anti-Cheat).\n\nQuesto account Steam è stato bannato dai server protetti a causa di un'infrazione per cheating."
        "VAC_ConnectionRefusedByServer"                         "Il server ha rifiutato la tua connessione perché è protetto dal VAC (Valve Anti-Cheat).\n\nQuesto account Steam è stato bannato dai server protetti a causa di un'infrazione per cheating."
        "VAC_BanSupportURL"                                     "http://support.steampowered.com/cgi-bin/steampowered.cfg/php/enduser/std_adp.php?p_faqid=370"
        "VAC_SecureServerToolTip"                               "Valve Anti-Cheat - Protetto"
        "VAC_BannedFromServerToolTip"                           "Non puoi connetterti a questo server protetto"
        "VAC_Secure"                                            "Protetto"
        "VAC_ConnectingToSecureServer"                          "Nota: questo server è protetto dal VAC.\n\nL'uso di cheat comporterà un ban permanente."
        "VAC_BannedFromServers"                                 "Bannato da alcuni server protetti a causa di un'infrazione per cheating."
        "VAC_NoBans"                                            "In regola"
        "VAC_Status"                                            "Stato VAC:"
        "Steam_ValidLoginRequiredTitle"                         "È richiesto un accesso Steam valido"
        "Steam_ValidLoginRequired"                              "Impossibile connettersi ai server VAC di Steam. Per risolvere i problemi di rete, clicca sul link seguente."
        "VAC_ConnectionIssuesSupport_Title"                     "Connessione protetta non riuscita"
        "VAC_ConnectionIssuesSupportSite"                       "Clicca qui per visitare il Supporto di Steam"
        "VAC_ConnectionIssuesSupportURL"                        "http://support.steampowered.com/cgi-bin/steampowered.cfg/php/enduser/std_adp.php?p_faqid=374"
        "VAC_LoggedInElsewhere_Title"                           "Account utilizzato altrove"
        "VAC_LoggedInElsewhereReason"                           "Questo account Steam è stato utilizzato per accedere da un altro computer. Per continuare a utilizzare Steam, devi effettuare nuovamente l'accesso."
        "ServerBrowser_FriendNotInGameServer"                   "%friend% non sta attualmente giocando su nessun server."
        "ServerBrowser_NotInGame"                               "[nessuno]"
        "ServerBrowser_PendingPing"                             "<in attesa>"
        "ServerBrowser_AddSelectedToFavorites"                  "Aggiungi il server selezionato ai preferiti"
        "ServerBrowser_AddAddressToFavorites"                   "Aggiungi questo indirizzo ai preferiti"
        "ServerBrowser_FindGames"                               "Cerca partite a questo indirizzo..."
    }
}
